Stock Name,Symbol,Sector,Industry,Market Cap(Rs. Cr.),Source_File
Patel Retail Ltd.,PATELRMART,Retailing,Retailing,734.48,sectors\retailing.csv
PNGS Gargi Fashion Jewellery Ltd.,GARGI,Retailing,Retailing,602.72,sectors\retailing.csv
Sreeleathers Ltd.,SREEL,Retailing,Footwear,558.85,sectors\retailing.csv
Mirza International Ltd.,MIRZAINT,Retailing,Footwear,438.38,sectors\retailing.csv
Liberty Shoes Ltd.,LIBERTSHOE,Retailing,Footwear,406.66,sectors\retailing.csv
Lehar Footwears Ltd.,LEHAR,Retailing,Footwear,389.11,sectors\retailing.csv
Bhatia Communications & Retail (India) Ltd.,BHATIA,Retailing,Retailing,382.57,sectors\retailing.csv
Shankara Building Products Ltd.,SHANKARA,Retailing,Retailing,341.55,sectors\retailing.csv
Purple United Sales Ltd.,PURPLEUTED,Retailing,Retailing,339.08,sectors\retailing.csv
Brandman Retail Ltd.,BRANDMAN,Retailing,Retailing,335.18,sectors\retailing.csv
Logica Infoway Ltd.,LOGICA,Retailing,Retailing,302.56,sectors\retailing.csv
CKK Retail Mart Ltd.,CKKRETAIL,Retailing,Retailing,283.74,sectors\retailing.csv
Spencer's Retail Ltd.,SPENCERS,Retailing,Retailing,278.15,sectors\retailing.csv
Magson Retail & Distribution Ltd.,MAGSON,Retailing,Retailing,262.18,sectors\retailing.csv
Jay Jalaram Technologies Ltd.,KORE,Retailing,Retailing,214.61,sectors\retailing.csv
Brand Concepts Ltd.,BCONCEPTS,Retailing,Retailing,198.02,sectors\retailing.csv
Superhouse Ltd.,SUPERHOUSE,Retailing,Footwear,186.32,sectors\retailing.csv
Khadim India Ltd.,KHADIM,Retailing,Retailing,181.6,sectors\retailing.csv
On Door Concepts Ltd.,ONDOOR,Retailing,Retailing,171.41,sectors\retailing.csv
DSM Fresh Foods Ltd.,ZAPPFRESH,Retailing,Retailing,160.49,sectors\retailing.csv
Indian Terrain Fashions Ltd.,INDTERRAIN,Retailing,Retailing,158.39,sectors\retailing.csv
Rockingdeals Circular Economy Ltd.,ROCKINGDCE,Retailing,Retailing,149.92,sectors\retailing.csv
Pro FX Tech Ltd.,PROFX,Retailing,Retailing,140.03,sectors\retailing.csv
Future Retail Ltd.,FRETAIL,Retailing,Retailing,130.69,sectors\retailing.csv
Praxis Home Retail Ltd.,PRAXIS,Retailing,Retailing,117.99,sectors\retailing.csv
Fonebox Retail Ltd.,FONEBOX,Retailing,Retailing,101.06,sectors\retailing.csv
Galaxy Supermarket Ltd.,GSLTD,Retailing,Retailing,101.0,sectors\retailing.csv
Jay Ambe Supermarkets Ltd.,CITYSQUARE,Retailing,Retailing,97.68,sectors\retailing.csv
Mehul Telecom Ltd.,MTL,Retailing,Retailing,94.05,sectors\retailing.csv
Umiya Mobile Ltd.,UML,Retailing,Retailing,85.32,sectors\retailing.csv
Womancart Ltd.,WOMANCART,Retailing,Retailing,83.61,sectors\retailing.csv
Binny Mills Ltd.,BINNYMILLS,Retailing,Retailing,78.82,sectors\retailing.csv
Chandni Machines Ltd.,CHANDNIMACH,Retailing,Retailing,75.42,sectors\retailing.csv
Digidrive Distributors Ltd.,DIGIDRIVE,Retailing,Retailing,66.71,sectors\retailing.csv
Grill Splendour Services Ltd.,BIRDYS,Retailing,Retailing,61.26,sectors\retailing.csv
Kiaasa Retail Ltd.,KIAASA,Retailing,Retailing,56.68,sectors\retailing.csv
Aditya Consumer Marketing Ltd.,ACML,Retailing,Retailing,55.24,sectors\retailing.csv
KSR Footwear Ltd.,KSR,Retailing,Footwear,53.81,sectors\retailing.csv
Future Consumer Ltd.,FCONSUMER,Retailing,Retailing,51.92,sectors\retailing.csv
Archies Ltd.,ARCHIES,Retailing,Retailing,46.79,sectors\retailing.csv
Bombay Metrics Supply Chain Ltd.,BMETRICS,Retailing,Retailing,45.19,sectors\retailing.csv
OSIA Hyper Retail Ltd.,OSIAHYPER,Retailing,Retailing,43.53,sectors\retailing.csv
Vinit Mobile Ltd.,VMOBILE,Retailing,Retailing,41.65,sectors\retailing.csv
Sarup Industries Ltd.,SARUPINDUS,Retailing,Footwear,40.96,sectors\retailing.csv
Manoj Jewellers Ltd.,MANOJJEWEL,Retailing,Retailing,37.74,sectors\retailing.csv
Future Lifestyle Fashions Ltd.,FLFL,Retailing,Retailing,25.22,sectors\retailing.csv
Benchmark Computer Solutions Ltd.,BENCHMARK,Retailing,Retailing,24.88,sectors\retailing.csv
Diva Organic Living Ltd.,WORL,Retailing,Retailing,23.56,sectors\retailing.csv
Future Enterprises Ltd.,FEL,Retailing,Retailing,22.29,sectors\retailing.csv
Olympia Industries Ltd.,OLYMPTX,Retailing,Retailing,17.47,sectors\retailing.csv
